City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,Honiara,-9.4333,159.95,28.43,71,64,1.02,SB,2023-04-13 23:01:41
164,Luanda,-8.8368,13.2343,27.0,83,40,1.54,AO,2023-04-13 23:01:41
165,Ribeira Grande,38.5167,-28.7,17.1,92,94,7.15,PT,2023-04-13 23:01:41
166,Mbandaka,0.0487,18.2603,22.44,94,84,0.51,CD,2023-04-13 23:01:41
167,Mwanza,-2.5167,32.9,22.03,78,75,0.0,TZ,2023-04-13 23:01:41
168,Alto Parana,-23.1289,-52.3189,22.23,85,78,1.68,BR,2023-04-13 23:01:42
169,Dibulla,11.2725,-73.3091,25.65,84,19,11.25,CO,2023-04-13 23:01:42
170,Lagoa,39.05,-27.9833,16.2,84,100,4.74,PT,2023-04-13 23:01:42
171,Zhigansk,66.7697,123.3711,-10.69,92,54,3.05,RU,2023-04-13 23:01:42
172,Blackwater,-23.5833,148.8833,23.13,29,0,0.71,AU,2023-04-13 23:01:42
173,Nanortalik,60.1432,-45.2371,2.27,78,100,1.94,GL,2023-04-13 23:01:43
174,Vestmannaeyjar,63.4427,-20.2734,6.69,72,100,2.65,IS,2023-04-13 23:01:43
175,Palmer,42.1584,-72.3287,31.23,20,0,4.63,US,2023-04-13 22:59:11
176,Mahebourg,-20.4081,57.7,24.03,94,20,1.54,MU,2023-04-13 23:01:43
177,Castro,-24.7911,-50.0119,17.31,85,66,1.43,BR,2023-04-13 23:01:14
178,Dunedin,-45.8742,170.5036,13.78,70,100,2.24,NZ,2023-04-13 23:01:09
179,Gizo,-8.103,156.8419,26.54,85,100,5.87,SB,2023-04-13 23:01:44
180,Kitama,-10.7167,39.7333,21.04,99,79,1.26,TZ,2023-04-13 23:01:44
181,Altamira,-3.2033,-52.2064,23.56,98,94,1.28,BR,2023-04-13 23:01:30
182,Esperance,-33.8667,121.9,12.02,75,70,8.41,AU,2023-04-13 23:01:44
183,Lorengau,-2.0226,147.2712,28.61,80,66,6.53,PG,2023-04-13 23:01:45
184,Byron Bay,-28.65,153.6167,20.39,65,33,5.62,AU,2023-04-13 23:01:45
185,Hami,42.8,93.45,9.21,50,86,0.94,CN,2023-04-13 23:01:45
186,Port Elizabeth,-33.918,25.5701,17.16,62,0,5.14,ZA,2023-04-13 23:01:45
187,Chuy,-33.6971,-53.4616,13.65,66,8,3.95,UY,2023-04-13 23:01:45
188,Banjar,-8.19,114.9675,25.61,89,100,2.44,ID,2023-04-13 23:01:46
189,Prince Rupert,54.3161,-130.3201,6.05,81,20,3.09,CA,2023-04-13 23:00:42
190,Hay River,60.8156,-115.7999,-0.02,80,20,5.66,CA,2023-04-13 23:01:46
191,San Luis,-33.295,-66.3356,10.27,85,74,1.0,AR,2023-04-13 23:00:06
192,Marawi,7.9986,124.2928,22.52,88,16,0.48,PH,2023-04-13 23:01:46
193,Souillac,-20.5167,57.5167,23.21,94,20,1.54,MU,2023-04-13 23:01:47
194,Cidreira,-30.1811,-50.2056,19.4,79,100,3.92,BR,2023-04-13 23:01:47
195,Borisoglebskiy,57.2586,39.1508,-0.02,62,31,5.77,RU,2023-04-13 23:01:47
196,Guerrero Negro,27.9769,-114.0611,15.22,70,8,7.89,MX,2023-04-13 23:01:47
197,Ixtapa,20.7,-105.2,26.24,66,60,1.79,MX,2023-04-13 23:00:40
198,Moose Factory,51.2585,-80.6094,2.0,69,100,4.63,CA,2023-04-13 23:01:48
199,Margherita,27.2833,95.6833,21.44,46,0,1.11,IN,2023-04-13 23:01:48
200,Aswan,24.0934,32.907,19.61,20,0,3.6,EG,2023-04-13 23:00:20
201,Gorom-Gorom,14.4439,-0.2361,32.7,15,100,3.35,BF,2023-04-13 23:01:48
202,Xam Nua,20.4197,104.0439,19.9,77,10,1.13,LA,2023-04-13 23:01:48
203,Deputatskiy,69.3,139.9,-14.45,89,98,1.18,RU,2023-04-13 23:01:49
204,Porto Santo,33.072,-16.3415,17.21,72,75,7.2,PT,2023-04-13 23:01:49
205,Kununurra,-15.7667,128.7333,23.99,94,100,0.0,AU,2023-04-13 23:01:02
206,Opuwo,-18.0607,13.84,23.44,32,98,1.57,NA,2023-04-13 23:01:49
207,Sines,37.9562,-8.8698,13.49,66,48,6.32,PT,2023-04-13 23:01:50
208,Lysogorskaya,44.1064,43.2756,6.75,75,99,2.93,RU,2023-04-13 23:01:50
209,Mareeba,-17.0,145.4333,26.93,81,35,1.8,AU,2023-04-13 23:01:50
210,Rodniki,57.1051,41.7305,-0.85,60,23,7.13,RU,2023-04-13 23:01:50
211,Comodoro Rivadavia,-45.8667,-67.5,6.92,65,0,2.57,AR,2023-04-13 23:00:58
212,Pisco,-13.7,-76.2167,27.03,61,13,9.26,PE,2023-04-13 23:00:28
213,Leningradskiy,69.3833,178.4167,-16.88,87,62,2.19,RU,2023-04-13 23:01:51
214,Bowen,-20.0167,148.2333,26.32,56,0,2.76,AU,2023-04-13 23:01:51
215,Lazaro Cardenas,17.9583,-102.2,28.61,50,3,5.49,MX,2023-04-13 23:01:51
216,Florianopolis,-27.6146,-48.5012,22.57,75,75,5.66,BR,2023-04-13 22:53:06
217,Sokoni,-6.4333,39.55,26.92,79,71,4.56,TZ,2023-04-13 23:01:52
218,Shrewsbury,52.7101,-2.7521,6.49,80,0,3.09,GB,2023-04-13 23:01:52
219,Xining,36.6167,101.7667,2.18,86,94,1.14,CN,2023-04-13 23:01:52
220,Khategaon,22.6,76.9167,29.76,26,95,4.22,IN,2023-04-13 23:01:52
221,Buraydah,26.326,43.975,16.25,33,0,3.76,SA,2023-04-13 23:01:53
222,Bathsheba,13.2167,-59.5167,27.34,69,20,6.17,BB,2023-04-13 23:01:53
223,Waingapu,-9.6567,120.2641,26.44,84,100,2.67,ID,2023-04-13 23:01:53
224,Dhrangadhra,22.9833,71.4667,26.28,53,93,4.84,IN,2023-04-13 23:01:53
225,Zhigalovo,54.8097,105.1578,-7.52,79,36,1.27,RU,2023-04-13 23:01:53
226,Sao Filipe,14.8961,-24.4956,23.22,79,69,2.19,CV,2023-04-13 23:01:54
227,Pascagoula,30.3658,-88.5561,21.4,79,72,2.14,US,2023-04-13 23:01:54
228,Khvoynaya,58.9,34.5333,-1.12,75,74,4.91,RU,2023-04-13 23:01:54
229,Yangambi,0.8102,24.4336,21.51,98,100,0.99,CD,2023-04-13 23:01:54
230,Manono,-7.3,27.4167,21.37,94,100,1.27,CD,2023-04-13 23:01:55
231,Kousseri,12.0769,15.0306,29.98,20,2,3.09,CM,2023-04-13 23:01:55
232,Malinovoye Ozero,51.6753,79.7825,5.97,50,43,3.74,RU,2023-04-13 23:01:55
233,Samarai,-10.6167,150.6667,27.85,73,100,1.96,PG,2023-04-13 23:01:55
234,Savannah Bight,16.45,-85.85,27.02,77,100,7.18,HN,2023-04-13 23:01:56
235,Blagoyevo,63.3667,47.9167,-17.43,100,64,0.73,RU,2023-04-13 23:01:56
236,Kieta,-6.2167,155.6333,27.51,78,100,0.07,PG,2023-04-13 23:01:56
237,Geraldton,-28.7667,114.6,17.23,55,100,9.77,AU,2023-04-13 23:01:56
238,Urengoy,65.9667,78.3667,-21.01,95,95,6.25,RU,2023-04-13 23:01:57
239,Katsuura,35.1333,140.3,18.41,67,68,6.3,JP,2023-04-13 23:01:57
240,Lubao,14.9167,120.55,24.84,88,100,0.82,PH,2023-04-13 23:01:57
241,Isla Mujeres,21.2311,-86.731,27.87,80,18,3.69,MX,2023-04-13 23:01:57
242,Okha,53.5739,142.9478,-0.59,97,100,7.1,RU,2023-04-13 23:01:58
243,Mahibadhoo,3.7833,72.9667,27.71,76,25,2.3,MV,2023-04-13 23:01:58
244,Sur,22.5667,59.5289,29.12,49,1,2.02,OM,2023-04-13 23:01:58
245,Yumen,40.2833,97.2,5.29,41,96,4.87,CN,2023-04-13 23:01:59
246,Pokrovskoye,47.4157,38.8971,10.28,90,100,5.99,RU,2023-04-13 23:01:59
247,Laurel,39.0993,-76.8483,29.82,26,0,3.6,US,2023-04-13 23:01:31
248,Manuk Mangkaw,4.8,119.85,27.68,74,100,2.95,PH,2023-04-13 23:01:59
249,Atasu,48.6814,71.6433,10.02,45,100,3.76,KZ,2023-04-13 23:02:00
250,Hokitika,-42.7167,170.9667,16.37,75,100,8.76,NZ,2023-04-13 23:02:00
251,Urumqi,43.801,87.6005,6.53,53,0,1.0,CN,2023-04-13 23:02:00
252,Romny,50.751,33.4747,8.08,91,100,5.85,UA,2023-04-13 23:02:00
253,Sao Jose Do Egito,-7.4789,-37.2744,22.61,77,67,4.51,BR,2023-04-13 23:02:01
254,Clyde River,70.4692,-68.5914,-11.87,67,75,7.2,CA,2023-04-13 23:02:01
255,Tucumcari,35.1717,-103.725,27.19,17,0,10.8,US,2023-04-13 23:02:01
256,Ngaoundere,7.3167,13.5833,24.73,31,54,1.77,CM,2023-04-13 23:02:02
257,Victoria,22.2855,114.1577,23.51,88,92,2.68,HK,2023-04-13 22:47:16
258,Innisfail,-17.5333,146.0333,27.32,64,47,0.7,AU,2023-04-13 23:02:02
259,Kodiak,57.79,-152.4072,2.73,87,100,4.63,US,2023-04-13 23:02:02
260,Xuddur,4.1213,43.8894,25.04,65,100,4.99,SO,2023-04-13 23:02:03
261,Port Hedland,-20.3167,118.5667,26.03,83,40,3.6,AU,2023-04-13 23:02:03
262,Sao Joao Da Barra,-21.6403,-41.0511,26.05,93,11,2.5,BR,2023-04-13 23:02:04
263,Sakhon Nakhon,17.1612,104.1472,27.35,64,100,2.47,TH,2023-04-13 23:02:05
264,Kavaratti,10.5669,72.642,28.43,74,100,2.47,IN,2023-04-13 23:02:05
265,Karaton,-6.3424,106.1045,23.36,95,100,1.9,ID,2023-04-13 23:02:06
266,Arraial Do Cabo,-22.9661,-42.0278,25.92,83,0,4.63,BR,2023-04-13 23:02:06
267,Salekhard,66.53,66.6019,-24.34,90,5,3.02,RU,2023-04-13 23:02:06
268,Vardo,70.3705,31.1107,-2.01,69,14,13.38,NO,2023-04-13 23:02:07
269,Tiksi,71.6872,128.8694,-10.14,77,100,1.34,RU,2023-04-13 23:02:07
270,Gweta,-20.1833,25.2333,23.26,29,0,2.28,BW,2023-04-13 23:02:07
271,Wahiawa,21.5028,-158.0236,27.18,68,42,10.99,US,2023-04-13 23:02:08
272,Laplace,30.0666,-90.4801,22.21,52,75,4.12,US,2023-04-13 23:02:08
273,Caravelas,-17.7125,-39.2481,24.23,90,31,2.2,BR,2023-04-13 23:02:08
274,Dolores,-36.3132,-57.6792,11.67,46,23,5.17,AR,2023-04-13 23:02:09
275,Gemena,3.25,19.7667,21.18,99,90,1.01,CD,2023-04-13 23:02:09
276,Dzhubga,44.3211,38.7039,9.23,96,100,5.72,RU,2023-04-13 23:02:10
277,Ostrovnoy,68.0531,39.5131,-4.73,76,14,10.26,RU,2023-04-13 23:02:11
278,Port Shepstone,-30.7414,30.455,20.6,93,93,1.01,ZA,2023-04-13 23:02:11
279,Zanjan,36.6736,48.4787,4.33,74,46,8.79,IR,2023-04-13 23:02:12
280,Makushino,55.2103,67.2442,-4.33,77,99,8.51,RU,2023-04-13 23:02:12
281,Qingyuan,23.7,113.0333,22.99,87,89,1.22,CN,2023-04-13 23:02:12
282,Banff,51.1762,-115.5698,4.21,30,97,2.06,CA,2023-04-13 23:00:33
283,Road Town,18.4167,-64.6167,26.02,73,20,3.09,VG,2023-04-13 23:02:13
284,Igarka,67.4667,86.5833,-20.81,99,100,3.29,RU,2023-04-13 23:02:13
285,Olinda,-8.0089,-34.8553,27.85,65,40,2.57,BR,2023-04-13 22:57:39
286,Syke,52.9,8.8333,4.36,100,79,1.03,DE,2023-04-13 23:02:13
287,Viransehir,37.2353,39.7631,7.17,88,39,0.24,TR,2023-04-13 23:02:14
288,Lusaka,-15.4067,28.2871,17.13,79,78,2.52,ZM,2023-04-13 23:02:14
